#Gene stable ID	Transcript stable ID	Gene name	Transcript start (bp)	Transcript end (bp)	Strand	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
SPAC4A8.04	SPAC4A8.04.1	isp6	2544815	2546981	1	I	2544815	2546981
SPNCRNA.1451	SPNCRNA.1451.1	cdc28-antisense-1	1670520	1675238	-1	II	1670520	1675238
SPNCRNA.837	SPNCRNA.837.1	SPAC4A8.06c-antisense-1	2553840	2555738	1	I	2553840	2555738
SPAC4A8.07c	SPAC4A8.07c.1	lcb4	2556600	2558444	-1	I	2556600	2558444
SPBC19C2.03	SPBC19C2.03.1	rpc10	1675592	1676188	1	II	1675592	1676188
SPCC285.13c	SPCC285.13c.1	nup60	1818947	1821452	-1	III	1818947	1821452
SPBC19C2.04c	SPBC19C2.04c.1	ubp11	1676352	1678652	-1	II	1676352	1678652
SPCC285.15c	SPCC285.15c.1	rps2802	1826905	1827487	-1	III	1826905	1827487
SPBC19C2.07	SPBC19C2.07.1	fba1	1688336	1689599	1	II	1688336	1689599
SPCC285.16c	SPCC285.16c.1	msh6	1827452	1831715	-1	III	1827452	1831715
SPBC19C2.08	SPBC19C2.08.1	prp38	1690079	1691223	1	II	1690079	1691223
SPBC19C2.15c	SPBC19C2.15c.1	phs1	1702937	1703942	-1	II	1702937	1703942
SPAC4A8.09c	SPAC4A8.09c.1	cwf21	2562477	2564277	-1	I	2562477	2564277
SPBC2F12.14c	SPBC2F12.14c.1	gua1	1706941	1708944	1	II	1706941	1708944
SPAC4A8.11c	SPAC4A8.11c.1	fas2	2566866	2572625	-1	I	2566866	2572625
SPSNORNA.22	SPSNORNA.22.1	snoR54	1707601	1707681	1	II	1707601	1707681
SPCC285.17	SPCC285.17.1	spp27	1831913	1834169	1	III	1831913	1834169
SPNCRNA.1234	SPNCRNA.1234.1	prl10	1837499	1840092	-1	III	1837499	1840092
SPAC4A8.13c	SPAC4A8.13c.1	pts1	2574746	2575956	-1	I	2574746	2575956
SPCC1223.05c	SPCC1223.05c.1	rpl3702	1847423	1847943	-1	III	1847423	1847943
SPNCRNA.1236	SPNCRNA.1236.1	SPNCRNA.1236	1859963	1860577	1	III	1859963	1860577
SPNCRNA.586	SPNCRNA.586.1	SPNCRNA.586	1865286	1866421	1	III	1865286	1866421
SPNCRNA.1240	SPNCRNA.1240.1	ssp1-antisense-1	1878672	1879198	-1	III	1878672	1879198
SPCC297.04c	SPCC297.04c.1	set7	1880992	1882276	-1	III	1880992	1882276
SPAC4A8.14	SPAC4A8.14.1	SPAC4A8.14	2576259	2577995	1	I	2576259	2577995
SPCC737.02c	SPCC737.02c.1	qcr7	1886995	1888168	-1	III	1886995	1888168
SPCC737.04	SPCC737.04.1	SPCC737.04	1891328	1893817	1	III	1891328	1893817
SPAC4A8.15c	SPAC4A8.15c.1	cdc3	2578956	2579514	-1	I	2578956	2579514
SPNCRNA.1242	SPNCRNA.1242.1	SPNCRNA.1242	1893796	1894483	1	III	1893796	1894483
SPBC2F12.12c	SPBC2F12.12c.1	cay1	1712841	1714938	1	II	1712841	1714938
SPAC4A8.16c	SPAC4A8.16c.1	tif33	2580100	2583046	-1	I	2580100	2583046
SPCC737.06c	SPCC737.06c.1	gcs2	1895954	1897559	-1	III	1895954	1897559
SPBC2F12.11c	SPBC2F12.11c.1	rep2	1717715	1719322	1	II	1717715	1719322
SPAC823.17	SPAC823.17.1	SPAC823.17	2583863	2584233	1	I	2583863	2584233
SPCC737.08	SPCC737.08.1	SPCC737.08	1900472	1914833	1	III	1900472	1914833
SPBC2F12.10	SPBC2F12.10.1	SPBC2F12.10	1719225	1720988	-1	II	1719225	1720988
SPNCRNA.505	SPNCRNA.505.1	SPNCRNA.505	1917692	1918556	1	III	1917692	1918556
SPNCRNA.1457	SPNCRNA.1457.1	atf21-antisense-1	1721083	1724641	-1	II	1721083	1724641
SPAC823.03	SPAC823.03.1	ppk15	2585172	2587474	1	I	2585172	2587474
SPNCRNA.199	SPNCRNA.199.1	SPNCRNA.199	2597443	2597985	1	I	2597443	2597985
SPBC2F12.09c	SPBC2F12.09c.1	atf21	1722231	1724450	1	II	1722231	1724450
SPAC823.11	SPAC823.11.1	sgp1	2598197	2600285	1	I	2598197	2600285
SPBC2F12.07c	SPBC2F12.07c.1	rpl802	1726632	1727577	1	II	1726632	1727577
SPAC7D4.11c	SPAC7D4.11c.1	sec39	2617856	2620433	1	I	2617856	2620433
SPAC7D4.06c	SPAC7D4.06c.1	alg3	2626416	2628282	1	I	2626416	2628282
SPSNORNA.12	SPSNORNA.12.1	snoR02	2627988	2628071	-1	I	2627988	2628071
SPAC4F8.13c	SPAC4F8.13c.1	rng2	2645380	2650427	1	I	2645380	2650427
SPCC74.03c	SPCC74.03c.1	ssp2	1929190	1932004	-1	III	1929190	1932004
SPNCRNA.1244	SPNCRNA.1244.1	SPNCRNA.1244	1935379	1936429	-1	III	1935379	1936429
SPAC4F8.02c	SPAC4F8.02c.1	mrpl40	2673637	2674938	1	I	2673637	2674938
SPNCRNA.1245	SPNCRNA.1245.1	rpl2702-antisense-1	1938950	1940302	-1	III	1938950	1940302
SPBC2F12.03c	SPBC2F12.03c.1	ebs1	1734240	1738362	1	II	1734240	1738362
SPAC4F8.01	SPAC4F8.01.1	did4	2674837	2676012	-1	I	2674837	2676012
SPCC18.09c	SPCC18.09c.1	hnt3	1970754	1973851	-1	III	1970754	1973851
SPNCRNA.1458	SPNCRNA.1458.1	SPNCRNA.1458	1737874	1739062	-1	II	1737874	1739062
SPNCRNA.1459	SPNCRNA.1459.1	SPNCRNA.1459	1742555	1744043	-1	II	1742555	1744043
SPAC644.05c	SPAC644.05c.1	dut1	2678518	2679209	-1	I	2678518	2679209
SPNCRNA.845	SPNCRNA.845.1	SPNCRNA.845	2707388	2707925	1	I	2707388	2707925
SPNCRNA.846	SPNCRNA.846.1	cig2-antisense-1	2710681	2712634	-1	I	2710681	2712634
SPAPB2B4.04c	SPAPB2B4.04c.1	pmc1	2712704	2718444	-1	I	2712704	2718444
SPBC1D7.04	SPBC1D7.04.1	mlo3	1743968	1744798	-1	II	1743968	1744798
SPCC18.13	SPCC18.13.1	SPCC18.13	1978528	1980365	1	III	1978528	1980365
SPCC18.15	SPCC18.15.1	dph7	1982194	1985220	1	III	1982194	1985220
SPCC18.18c	SPCC18.18c.1	fum1	1988324	1991055	-1	III	1988324	1991055
SPNCRNA.1251	SPNCRNA.1251.1	SPNCRNA.1251	1991799	1992604	1	III	1991799	1992604
SPAC6F6.01	SPAC6F6.01.1	cch1	2725990	2732444	1	I	2725990	2732444
SPNCRNA.1252	SPNCRNA.1252.1	ams2-antisense-1	2000677	2003895	-1	III	2000677	2003895
SPAC6F6.05	SPAC6F6.05.1	ost2	2740496	2741450	1	I	2740496	2741450
SPAC6F6.07c	SPAC6F6.07c.1	rps13	2745872	2746733	-1	I	2745872	2746733
SPAC6F6.09	SPAC6F6.09.1	eaf6	2748833	2749765	1	I	2748833	2749765
SPAC6F6.19	SPAC6F6.19.1	SPAC6F6.19	2759155	2759709	-1	I	2759155	2759709
SPAC1805.05	SPAC1805.05.1	cki3	2781154	2783133	1	I	2781154	2783133
SPNCRNA.853	SPNCRNA.853.1	SPNCRNA.853	2784605	2785492	1	I	2784605	2785492
SPBC1D7.03	SPBC1D7.03.1	clg1	1745777	1747871	-1	II	1745777	1747871
SPBC1D7.02c	SPBC1D7.02c.1	scr1	1752100	1755619	1	II	1752100	1755619
SPAC1805.08	SPAC1805.08.1	dlc1	2788022	2788718	1	I	2788022	2788718
SPBC11G11.07	SPBC11G11.07.1	mtr10	1766005	1769138	1	II	1766005	1769138
SPCC290.04	SPCC290.04.1	ams2	2001145	2004364	1	III	2001145	2004364
SPNCRNA.1465	SPNCRNA.1465.1	rps1601-antisense-1	1793809	1794860	-1	II	1793809	1794860
SPCC4F11.05	SPCC4F11.05.1	SPCC4F11.05	2010426	2010789	1	III	2010426	2010789
SPAC1805.10	SPAC1805.10.1	SPAC1805.10	2791137	2794932	1	I	2791137	2794932
SPNCRNA.511	SPNCRNA.511.1	SPNCRNA.511	2011026	2012559	1	III	2011026	2012559
SPBC18H10.17c	SPBC18H10.17c.1	SPBC18H10.17c	1800125	1801506	-1	II	1800125	1801506
SPCC1906.03	SPCC1906.03.1	wtf19	2017667	2019686	1	III	2017667	2019686
SPBC9B6.02c	SPBC9B6.02c.1	Tf2-9	1812748	1816780	-1	II	1812748	1816780
SPAC1805.15c	SPAC1805.15c.1	pub2	2797871	2800406	-1	I	2797871	2800406
SPBTRNAPRO.04	SPBTRNAPRO.04.1	SPBTRNAPRO.04	1825787	1825858	-1	II	1825787	1825858
SPCC1739.05	SPCC1739.05.1	set5	2035624	2036993	1	III	2035624	2036993
SPAC1805.16c	SPAC1805.16c.1	SPAC1805.16c	2800577	2802126	-1	I	2800577	2802126
SPNCRNA.208	SPNCRNA.208.1	SPNCRNA.208	2802514	2802681	1	I	2802514	2802681
SPBC9B6.11c	SPBC9B6.11c.1	SPBC9B6.11c	1831376	1834883	-1	II	1831376	1834883
SPCC1739.06c	SPCC1739.06c.1	SPCC1739.06c	2037670	2039988	-1	III	2037670	2039988
SPATRNALEU.02	SPATRNALEU.02.1	SPATRNALEU.02	2802761	2802858	-1	I	2802761	2802858
SPAC1B2.02c	SPAC1B2.02c.1	ugo1	2808329	2810033	-1	I	2808329	2810033
SPCC1739.08c	SPCC1739.08c.1	SPCC1739.08c	2041789	2044397	-1	III	2041789	2044397
SPBC28E12.02	SPBC28E12.02.1	SPBC28E12.02	1836327	1838630	1	II	1836327	1838630
SPAC1B2.06	SPAC1B2.06.1	SPAC1B2.06	2812662	2813530	1	I	2812662	2813530
SPBC28E12.03	SPBC28E12.03.1	rga4	1839363	1843187	1	II	1839363	1843187
SPAC3F10.03	SPAC3F10.03.1	grs1	2821301	2823619	1	I	2821301	2823619
SPCC1739.12	SPCC1739.12.1	ppe1	2053544	2057069	1	III	2053544	2057069
SPAC3F10.18c	SPAC3F10.18c.1	rpl4102	2853647	2853947	-1	I	2853647	2853947
SPCC1739.13	SPCC1739.13.1	ssa2	2057084	2059331	1	III	2057084	2059331
SPNCRNA.1257	SPNCRNA.1257.1	SPNCRNA.1257	2065404	2067340	-1	III	2065404	2067340
SPACUNK4.11c	SPACUNK4.11c.1	mpp6	2890095	2890887	1	I	2890095	2890887
SPBC28E12.04	SPBC28E12.04.1	SPBC28E12.04	1843288	1845003	1	II	1843288	1845003
SPCPB1C11.01	SPCPB1C11.01.1	amt1	2068977	2071707	1	III	2068977	2071707
SPAC513.05	SPAC513.05.1	ams1	2914480	2920278	1	I	2914480	2920278
SPCTRNAGLN.06	SPCTRNAGLN.06.1	SPCTRNAGLN.06	2074991	2075062	-1	III	2074991	2075062
SPBC28E12.05	SPBC28E12.05.1	esf2	1844942	1850285	1	II	1844942	1850285
SPCC576.01c	SPCC576.01c.1	xan1	2079421	2080662	-1	III	2079421	2080662
SPNCRNA.1259	SPNCRNA.1259.1	SPNCRNA.1259	2085698	2086538	-1	III	2085698	2086538
SPBC3H7.14	SPBC3H7.14.1	mug176	1857186	1859047	-1	II	1857186	1859047
SPCC576.05	SPCC576.05.1	sac3	2088527	2091991	1	III	2088527	2091991
SPAC513.07	SPAC513.07.1	SPAC513.07	2921063	2922821	1	I	2921063	2922821
SPCC576.10c	SPCC576.10c.1	rpt3	2097289	2098893	-1	III	2097289	2098893
SPAC2E1P3.02c	SPAC2E1P3.02c.1	amt3	2924692	2927075	-1	I	2924692	2927075
SPAPB24D3.01	SPAPB24D3.01.1	toe3	2947050	2950086	1	I	2947050	2950086
SPAPB24D3.05c	SPAPB24D3.05c.1	SPAPB24D3.05c	2954983	2955350	-1	I	2954983	2955350
SPBC3H7.13	SPBC3H7.13.1	far10	1859004	1861332	-1	II	1859004	1861332
SPAPB24D3.08c	SPAPB24D3.08c.1	SPAPB24D3.08c	2961073	2962670	-1	I	2961073	2962670
SPCC576.13	SPCC576.13.1	swc5	2101753	2102400	1	III	2101753	2102400
SPAPB24D3.09c	SPAPB24D3.09c.1	pdr1	2962954	2967478	-1	I	2962954	2967478
SPNCRNA.512	SPNCRNA.512.1	SPNCRNA.512	2107603	2107915	1	III	2107603	2107915
SPNCRNA.866	SPNCRNA.866.1	SPNCRNA.866	2971998	2975970	-1	I	2971998	2975970
SPNCRNA.1263	SPNCRNA.1263.1	SPNCRNA.1263	2111204	2116520	1	III	2111204	2116520
SPAPB1A11.01	SPAPB1A11.01.1	mfc1	2976370	2979495	1	I	2976370	2979495
SPCC126.02c	SPCC126.02c.1	pku70	2117095	2119699	-1	III	2117095	2119699
SPNCRNA.868	SPNCRNA.868.1	mfc1-antisense-1	2977510	2979357	-1	I	2977510	2979357
SPCC126.05c	SPCC126.05c.1	mrpl17	2124133	2125769	-1	III	2124133	2125769
SPNCRNA.869	SPNCRNA.869.1	SPNCRNA.869	2979599	2980606	-1	I	2979599	2980606
SPAC31G5.02	SPAC31G5.02.1	SPAC31G5.02	2990804	2992231	1	I	2990804	2992231
SPCC126.11c	SPCC126.11c.1	SPCC126.11c	2135604	2136917	-1	III	2135604	2136917
SPNCRNA.870	SPNCRNA.870.1	SPNCRNA.870	2992359	2994428	-1	I	2992359	2994428
SPCC1620.03	SPCC1620.03.1	mug163	2148588	2151955	1	III	2148588	2151955
SPBC3H7.10	SPBC3H7.10.1	elp6	1864777	1865654	-1	II	1864777	1865654
SPAC31G5.06	SPAC31G5.06.1	rgg8	2996304	2997058	1	I	2996304	2997058
SPCC1620.06c	SPCC1620.06c.1	SPCC1620.06c	2152833	2155161	-1	III	2152833	2155161
SPBC3H7.08c	SPBC3H7.08c.1	SPBC3H7.08c	1868936	1870314	1	II	1868936	1870314
SPAC31G5.10	SPAC31G5.10.1	eta2	3002057	3003766	1	I	3002057	3003766
SPBC3H7.04	SPBC3H7.04.1	SPBC3H7.04	1875654	1876846	-1	II	1875654	1876846
SPCC1620.12c	SPCC1620.12c.1	SPCC1620.12c	2164463	2170064	-1	III	2164463	2170064
SPNCRNA.73	SPNCRNA.73.1	eta2-antisense-3	3002834	3003255	-1	I	3002834	3003255
SPNCRNA.1472	SPNCRNA.1472.1	SPNCRNA.1472	1877295	1878080	1	II	1877295	1878080
SPNCRNA.74	SPNCRNA.74.1	eta2-antisense-4	3002976	3003758	-1	I	3002976	3003758
SPNCRNA.1473	SPNCRNA.1473.1	spo14-antisense-1	1888087	1891429	1	II	1888087	1891429
SPNCRNA.01	SPNCRNA.01.1	prl1	3003816	3004916	1	I	3003816	3004916
SPNCRNA.874	SPNCRNA.874.1	SPAC31G5.21-antisense-1	3010000	3010531	-1	I	3010000	3010531
SPCC1620.11	SPCC1620.11.1	nup97	2165020	2168871	1	III	2165020	2168871
SPAC31G5.14	SPAC31G5.14.1	gcv1	3012251	3014213	1	I	3012251	3014213
SPCC830.03	SPCC830.03.1	grc3	2183590	2187389	1	III	2183590	2187389
SPNCRNA.875	SPNCRNA.875.1	gcv1-antisense-1	3012486	3013674	-1	I	3012486	3013674
SPNCRNA.1270	SPNCRNA.1270.1	epl1-antisense-1	2190355	2191129	1	III	2190355	2191129
SPBP16F5.05c	SPBP16F5.05c.1	yar1	1907025	1907808	-1	II	1907025	1907808
SPNCRNA.880	SPNCRNA.880.1	bgs2-antisense-1	3057965	3059473	1	I	3057965	3059473
SPCC830.06	SPCC830.06.1	cnb1	2192049	2193378	1	III	2192049	2193378
SPBP16F5.06	SPBP16F5.06.1	nop8	1907890	1909994	1	II	1907890	1909994
SPCC1919.01	SPCC1919.01.1	ckk2	2204089	2206069	1	III	2204089	2206069
SPAC16A10.03c	SPAC16A10.03c.1	SPAC16A10.03c	3080492	3084667	-1	I	3080492	3084667
SPBP16F5.07	SPBP16F5.07.1	apm1	1910124	1911815	1	II	1910124	1911815
SPAC16A10.02	SPAC16A10.02.1	sub1	3080862	3083426	1	I	3080862	3083426
SPBP16F5.08c	SPBP16F5.08c.1	SPBP16F5.08c	1911887	1914584	-1	II	1911887	1914584
SPBC16E9.03c	SPBC16E9.03c.1	coa1	1920391	1921835	-1	II	1920391	1921835
SPNCRNA.214	SPNCRNA.214.1	ter1	3084610	3086022	-1	I	3084610	3086022
SPBC16E9.05	SPBC16E9.05.1	erg6	1923596	1925394	1	II	1923596	1925394
SPNCRNA.1476	SPNCRNA.1476.1	mcp4-antisense-1	1928623	1930472	-1	II	1928623	1930472
SPBC16E9.10c	SPBC16E9.10c.1	rix7	1931810	1934522	-1	II	1931810	1934522
SPAC16A10.04	SPAC16A10.04.1	rho4	3086938	3088619	1	I	3086938	3088619
SPNCRNA.1477	SPNCRNA.1477.1	SPNCRNA.1477	1938749	1939319	1	II	1938749	1939319
SPNCRNA.1478	SPNCRNA.1478.1	pab2-antisense-1	1940059	1941445	1	II	1940059	1941445
SPNCRNA.886	SPNCRNA.886.1	SPAC589.03c-antisense-1	3098723	3099907	1	I	3098723	3099907
SPCC1919.03c	SPCC1919.03c.1	amk2	2207485	2209022	-1	III	2207485	2209022
SPCC1919.04	SPCC1919.04.1	SPCC1919.04	2211002	2212513	1	III	2211002	2212513
SPCC1919.09	SPCC1919.09.1	tif6	2223086	2224470	1	III	2223086	2224470
SPBC16E9.16c	SPBC16E9.16c.1	lsd90	1947985	1950255	-1	II	1947985	1950255
SPAC589.03c	SPAC589.03c.1	SPAC589.03c	3099047	3100030	-1	I	3099047	3100030
SPNCRNA.1277	SPNCRNA.1277.1	pep3-antisense-1	2243952	2245575	-1	III	2243952	2245575
SPNCRNA.1480	SPNCRNA.1480.1	SPBC16E9.20-antisense-1	1951122	1951972	-1	II	1951122	1951972
SPNCRNA.516	SPNCRNA.516.1	SPNCRNA.516	2275648	2277744	1	III	2275648	2277744
SPAC589.06c	SPAC589.06c.1	SPAC589.06c	3102768	3103904	-1	I	3102768	3103904
SPCC1840.10	SPCC1840.10.1	lsm8	2277890	2278303	1	III	2277890	2278303
SPBC16E9.20	SPBC16E9.20.1	SPBC16E9.20	1951398	1952828	1	II	1951398	1952828
SPNCRNA.560	SPNCRNA.560.1	atg1801-antisense-1	3104356	3105524	1	I	3104356	3105524
SPNCRNA.1481	SPNCRNA.1481.1	rem1-antisense-1	1952767	1955702	1	II	1952767	1955702
SPCC1840.12	SPCC1840.12.1	opt3	2281612	2284101	1	III	2281612	2284101
SPAC589.10c	SPAC589.10c.1	ubi5	3108199	3108931	-1	I	3108199	3108931
SPCC965.03	SPCC965.03.1	vma8	2285010	2286855	1	III	2285010	2286855
SPAC589.12	SPAC589.12.1	cwh43	3110201	3113396	1	I	3110201	3113396
SPNCRNA.1280	SPNCRNA.1280.1	SPCC965.04c-antisense-1	2286843	2289468	1	III	2286843	2289468
SPNCRNA.1281	SPNCRNA.1281.1	SPNCRNA.1281	2289326	2290582	-1	III	2289326	2290582
SPCC965.07c	SPCC965.07c.1	gst2	2294617	2296383	-1	III	2294617	2296383
SPNCRNA.1284	SPNCRNA.1284.1	SPNCRNA.1284	2301821	2302280	-1	III	2301821	2302280
SPBC16E9.17c	SPBC16E9.17c.1	rem1	1953419	1954793	-1	II	1953419	1954793
SPCC965.10	SPCC965.10.1	SPCC965.10	2302442	2305222	1	III	2302442	2305222
SPSNORNA.39	SPSNORNA.39.1	snR36	1957286	1957449	-1	II	1957286	1957449
SPNCRNA.121	SPNCRNA.121.1	SPNCRNA.121	2308667	2308904	1	III	2308667	2308904
SPNCRNA.35	SPNCRNA.35.1	prl35	2310377	2310786	1	III	2310377	2310786
SPBC1E8.02	SPBC1E8.02.1	SPBC1E8.02	1957656	1960881	1	II	1957656	1960881
SPNCRNA.1287	SPNCRNA.1287.1	SPNCRNA.1287	2319056	2320085	-1	III	2319056	2320085
SPCC1494.04c	SPCC1494.04c.1	tyr1	2327041	2328706	-1	III	2327041	2328706
SPBC1E8.03c	SPBC1E8.03c.1	SPBC1E8.03c	1960005	1962527	-1	II	1960005	1962527
SPNCRNA.382	SPNCRNA.382.1	SPNCRNA.382	1963882	1964560	1	II	1963882	1964560
SPCC1494.05c	SPCC1494.05c.1	ubp12	2328869	2332513	-1	III	2328869	2332513
SPNCRNA.383	SPNCRNA.383.1	SPNCRNA.383	1969856	1970296	1	II	1969856	1970296
SPNCRNA.1289	SPNCRNA.1289.1	ubp12-antisense-1	2331324	2332742	1	III	2331324	2332742
SPAC688.06c	SPAC688.06c.1	slx4	3116880	3119162	-1	I	3116880	3119162
SPCC1494.07	SPCC1494.07.1	SPCC1494.07	2336552	2341383	1	III	2336552	2341383
SPBC1A4.02c	SPBC1A4.02c.1	leu1	1974390	1975724	-1	II	1974390	1975724
SPCC1494.09c	SPCC1494.09c.1	tfb6	2342622	2343919	-1	III	2342622	2343919
SPAC688.11	SPAC688.11.1	end4	3134962	3138666	1	I	3134962	3138666
SPNCRNA.889	SPNCRNA.889.1	SPAC688.12c-antisense-1	3138602	3139458	1	I	3138602	3139458
SPCC70.02c	SPCC70.02c.1	SPCC70.02c	2349058	2349792	-1	III	2349058	2349792
SPBC1A4.08c	SPBC1A4.08c.1	cct3	1990416	1992652	-1	II	1990416	1992652
SPNCRNA.521	SPNCRNA.521.1	SPNCRNA.521	2364166	2364826	1	III	2364166	2364826
SPAC688.13	SPAC688.13.1	scn3	3139395	3141117	1	I	3139395	3141117
SPBP23A10.03c	SPBP23A10.03c.1	sdh7	1999257	2000861	-1	II	1999257	2000861
SPAC3G9.16c	SPAC3G9.16c.1	bet5	3145214	3145728	1	I	3145214	3145728
SPCC1827.05c	SPCC1827.05c.1	SPCC1827.05c	2384639	2385780	-1	III	2384639	2385780
SPNCRNA.216	SPNCRNA.216.1	SPNCRNA.216	3149910	3150625	1	I	3149910	3150625
SPBP23A10.12	SPBP23A10.12.1	frg1	2023299	2025187	1	II	2023299	2025187
SPCC1827.06c	SPCC1827.06c.1	SPCC1827.06c	2386019	2387686	-1	III	2386019	2387686
SPNCRNA.40	SPNCRNA.40.1	prl40	2391631	2391821	1	III	2391631	2391821
SPBC29A3.21	SPBC29A3.21.1	SPBC29A3.21	2037092	2037394	1	II	2037092	2037394
SPAC3G9.11c	SPAC3G9.11c.1	pdc201	3159753	3162245	1	I	3159753	3162245
SPBC29A3.02c	SPBC29A3.02c.1	his7	2040733	2042218	-1	II	2040733	2042218
SPCP1E11.02	SPCP1E11.02.1	ppk38	2392235	2394391	1	III	2392235	2394391
SPAC3G9.10c	SPAC3G9.10c.1	rrp41	3163136	3164354	1	I	3163136	3164354
SPBC29A3.03c	SPBC29A3.03c.1	gid2	2042152	2044042	-1	II	2042152	2044042
SPATRNATHR.04	SPATRNATHR.04.1	SPATRNATHR.04	3164749	3164820	1	I	3164749	3164820
SPNCRNA.892	SPNCRNA.892.1	tif211-antisense-1	3166349	3166977	-1	I	3166349	3166977
SPBC29A3.08	SPBC29A3.08.1	pof4	2052484	2054098	1	II	2052484	2054098
SPAC3G9.06	SPAC3G9.06.1	frs2	3171544	3173424	-1	I	3171544	3173424
SPCP1E11.05c	SPCP1E11.05c.1	are2	2398339	2400840	-1	III	2398339	2400840
SPCC569.07	SPCC569.07.1	SPCC569.07	2414916	2417388	-1	III	2414916	2417388
SPCC569.04	SPCC569.04.1	SPCC569.04	2427078	2427622	-1	III	2427078	2427622
SPCC569.02c	SPCC569.02c.1	SPCC569.02c	2432505	2433520	1	III	2432505	2433520
SPBC29A3.09c	SPBC29A3.09c.1	gcn20	2054141	2056440	-1	II	2054141	2056440
SPNCRNA.1484	SPNCRNA.1484.1	pdp1-antisense-1	2060778	2062436	1	II	2060778	2062436
SPBC18E5.02c	SPBC18E5.02c.1	SPBC18E5.02c	2076986	2079050	-1	II	2076986	2079050
SPRRNA.51	SPRRNA.51.1	SPRRNA.51	20712	20876	-1	III	20712	20876
SPRRNA.44	SPRRNA.44.1	SPRRNA.44	21289	23130	-1	III	21289	23130
SPCP20C8.04	SPCP20C8.04.1	new22	36421	36657	1	III	36421	36657
SPBC18E5.03c	SPBC18E5.03c.1	sim4	2079136	2080900	-1	II	2079136	2080900
SPBC18E5.06	SPBC18E5.06.1	rps21	2083801	2084323	1	II	2083801	2084323
SPCC1884.01	SPCC1884.01.1	SPCC1884.01	36972	38788	1	III	36972	38788
SPNCRNA.1097	SPNCRNA.1097.1	SPNCRNA.1097	39627	41424	-1	III	39627	41424
SPBC18E5.14c	SPBC18E5.14c.1	SPBC18E5.14c	2089944	2090327	-1	II	2089944	2090327
SPNCRNA.07	SPNCRNA.07.1	meu3	41985	42728	-1	III	41985	42728
SPAC3G9.04	SPAC3G9.04.1	ssu72	3176427	3177452	-1	I	3176427	3177452
SPNCRNA.1485	SPNCRNA.1485.1	SPNCRNA.1485	2091791	2092358	-1	II	2091791	2092358
SPNCRNA.1099	SPNCRNA.1099.1	SPNCRNA.1099	46987	47566	1	III	46987	47566
SPCC757.05c	SPCC757.05c.1	SPCC757.05c	52598	54368	-1	III	52598	54368
SPAC3G9.02	SPAC3G9.02.1	oar2	3180426	3181164	-1	I	3180426	3181164
SPBC18E5.11c	SPBC18E5.11c.1	edc3	2092551	2095975	-1	II	2092551	2095975
SPNCRNA.452	SPNCRNA.452.1	SPNCRNA.452	54496	55150	1	III	54496	55150
SPCC757.06	SPCC757.06.1	SPCC757.06	55579	56029	1	III	55579	56029
SPBC18E5.10	SPBC18E5.10.1	SPBC18E5.10	2092713	2095872	1	II	2092713	2095872
SPBC18E5.13	SPBC18E5.13.1	mti3	2098755	2099833	1	II	2098755	2099833
SPCC757.08	SPCC757.08.1	rrp45	62686	64464	1	III	62686	64464
SPBC23G7.05	SPBC23G7.05.1	sui1	2105527	2106309	1	II	2105527	2106309
SPAC3G9.01	SPAC3G9.01.1	nsk1	3181430	3183290	-1	I	3181430	3183290
SPBC23G7.17c	SPBC23G7.17c.1	mat1-Mi	2114219	2114347	-1	II	2114219	2114347
SPBC23G7.11	SPBC23G7.11.1	mag2	2120231	2121050	1	II	2120231	2121050
SPBC23G7.13c	SPBC23G7.13c.1	SPBC23G7.13c	2123087	2125438	-1	II	2123087	2125438
SPBC23G7.14	SPBC23G7.14.1	SPBC23G7.14	2126496	2128132	1	II	2126496	2128132
SPBC23G7.15c	SPBC23G7.15c.1	rpp202	2127990	2128518	-1	II	2127990	2128518
SPNCRNA.389	SPNCRNA.389.1	SPNCRNA.389	2129803	2130589	1	II	2129803	2130589
SPNCRNA.391	SPNCRNA.391.1	SPNCRNA.391	2137042	2137124	1	II	2137042	2137124
SPBC1711.05	SPBC1711.05.1	SPBC1711.05	2141222	2142836	1	II	2141222	2142836
SPCC757.09c	SPCC757.09c.1	rnc1	64099	66972	-1	III	64099	66972
SPCTRNAHIS.03	SPCTRNAHIS.03.1	SPCTRNAHIS.03	71400	71471	1	III	71400	71471
SPBC1711.18	SPBC1711.18.1	tam9	2145039	2145299	1	II	2145039	2145299
SPNCRNA.1490	SPNCRNA.1490.1	SPNCRNA.1490	2145545	2145829	-1	II	2145545	2145829
SPCC613.06	SPCC613.06.1	rpl902	89684	90644	1	III	89684	90644
SPCC613.08	SPCC613.08.1	SPCC613.08	93061	94425	1	III	93061	94425
SPBC1711.08	SPBC1711.08.1	aha1	2148983	2150801	1	II	2148983	2150801
SPBC1711.13	SPBC1711.13.1	his2	2159853	2161291	1	II	2159853	2161291
SPCC613.09	SPCC613.09.1	sen54	94500	96690	1	III	94500	96690
SPBC1711.15c	SPBC1711.15c.1	SPBC1711.15c	2161325	2162612	-1	II	2161325	2162612
SPCC613.11c	SPCC613.11c.1	meu23	98575	99670	-1	III	98575	99670
SPNCRNA.392	SPNCRNA.392.1	SPNCRNA.392	2162782	2163089	1	II	2162782	2163089
SPAC1486.02c	SPAC1486.02c.1	dsc2	3186322	3188100	-1	I	3186322	3188100
